id,course_name,scientific_name,common_name_it,order,suborder,superfamily,family,aliases,taxonomy_notes,image_count,recognition_cues,recognition_note
myzus_persicae,Myzus persicae,Myzus persicae,Afide verde del pesco,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,2,"Le forme attere possono essere giallastre, verde chiaro, verdi o rosate e hanno corpo ovale. | I cornicoli sono relativamente lunghi, leggermente rigonfi e spesso più scuri all'estremità. | Le forme alate hanno capo e torace scuri e un evidente campo scuro sul dorso dell'addome verde-giallastro.",È una specie molto variabile nel colore: non basarsi soltanto sulla tonalità del corpo.
myzus_varians,Myzus varians,Myzus varians,Afide sigaraio del pesco,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,2,"Afide del pesco generalmente verde chiaro, molto simile a Myzus persicae. | Le estremità delle antenne e dei sifoni tendono a essere più scure; le forme alate presentano un'ampia area dorsale scura. | Un indizio di campo molto utile è l'arrotolamento delle foglie di pesco lungo la nervatura, con tipico aspetto 'a sigaro'.",La separazione morfologica da M. persicae può richiedere osservazione ravvicinata; il danno a sigaro sul pesco è un ottimo indizio contestuale.
parthenolecanium_corni,Parthenolecanium corni,Parthenolecanium corni,Lecanio / cocciniglia del corniolo,Hemiptera,Sternorrhyncha,Coccoidea,Coccidae,,,2,"Femmina adulta ovale o tondeggiante, marrone, con profilo molto convesso a cupola. | L'aspetto è coriaceo e può variare molto con età e pianta ospite. | A differenza delle Pulvinaria non presenta un vistoso ovisacco bianco che sporge posteriormente.",La forma e il colore sono variabili; una femmina bruna fortemente convessa sul ramo è l'aspetto più tipico.
pulvinaria_hydrangeae,Eupulvinaria hydrangeae,Pulvinaria hydrangeae,Pulvinaria dell’ortensia,Hemiptera,Sternorrhyncha,Coccoidea,Coccidae,Eupulvinaria hydrangeae,Nell'app il nome del corso va mantenuto ben visibile; Pulvinaria hydrangeae è il nome preferito corrente.,2,"Femmina ovale o quasi circolare, giallo-bruna da giovane e più scura con l'età. | Produce sotto e dietro il corpo un lungo ovisacco bianco, soffice e cotonoso. | L'ovisacco è largo, poco profondamente solcato e può essere 2–3 volte la lunghezza della femmina.",Nella scheda del corso può comparire come Eupulvinaria hydrangeae.
saissetia_oleae,Saissetia oleae,Saissetia oleae,Cocciniglia nera dell’olivo / mezzo grano di pepe,Hemiptera,Sternorrhyncha,Coccoidea,Coccidae,,,2,"Femmina adulta molto convessa, da bruno scuro a quasi nera, aderente a rami e foglie. | Sul dorso è presente il caratteristico rilievo a forma di H. | È frequente su olivo e agrumi; gli stadi giovani sono molto più chiari dell'adulto.",La cresta dorsale a H è il segno visivo più utile della cocciniglia nera dell'olivo.
scaphoideus_titanus,Scaphoideus titanus,Scaphoideus titanus,Cicalina della flavescenza dorata / scafoideo,Hemiptera,Auchenorrhyncha,,Cicadellidae,,,3,"Adulto di circa 5–6 mm, cuneiforme, color ocra-bruno con macchie e bande più scure. | Ali anteriori brunastre e screziate, ripiegate a tetto; aspetto tipico da cicalina. | Nelle ninfe il segno più utile è la coppia di macchie nere, quasi romboidali, all'estremità dell'addome.",La presenza su vite è un indizio importante; le due macchie nere terminali sono particolarmente utili negli stadi giovanili.
trialeurodes_vaporariorum,Trialeurodes vaporariorum,Trialeurodes vaporariorum,Mosca bianca / aleurodide delle serre,Hemiptera,Sternorrhyncha,Aleyrodoidea,Aleyrodidae,,,2,"Adulto interamente biancastro, con ali cerose che formano una sagoma più larga e triangolare. | Rispetto a Bemisia tabaci, le ali tendono a essere tenute più piatte e meno aderenti al corpo. | Il pupario è ovale e può mostrare margini più rilevati e una frangia cerosa ben visibile.",Per distinguere con sicurezza i pupari degli aleurodidi servono spesso caratteri osservabili a forte ingrandimento.
cassida_vittata,Cassida vittata,Cassida vittata,Cassida della bietola,Coleoptera,,,Chrysomelidae,,,2,"Piccolo coleottero 'a tartaruga', appiattito e quasi circolare, con pronoto ed elitre allargati a scudo. | Da vivo è giallo o verde pallido, spesso con una banda longitudinale dorato-argentea sulle elitre. | Il margine dello scudo nasconde in parte capo e zampe quando l'insetto è visto dall'alto.","Può ricordare altre Cassida, in particolare C. nobilis; la foto dell'adulto è ottima per memorizzare la tipica forma a scudo."
crioceris_asparagi,Crioceris asparagi,Crioceris asparagi,Criocera dell’asparago,Coleoptera,,,Chrysomelidae,,,3,"Adulto stretto e allungato, blu-nero metallico con torace rossastro. | Sulle elitre scure compaiono vistose macchie crema/giallastre con margini rossastri. | Larva tozza e gibbosa, grigio-bruna, con capo e zampe neri; uova scure e allungate disposte quasi verticalmente sull'asparago.","Non confonderla con la criocera macchiata: C. asparagi è scura con macchie chiare, non arancio con punti neri."
diabrotica_virgifera_virgifera,Diabrotica virgifera virgifera,Diabrotica virgifera virgifera,Diabrotica del mais,Coleoptera,,,Chrysomelidae,,,2,"Adulto piccolo e allungato, con capo scuro, pronoto giallo e elitre giallastre. | Sulle elitre sono tipiche tre bande longitudinali scure; nel maschio possono fondersi e occupare gran parte della superficie. | La larva è sottile, bianco-crema, con capsula cefalica bruna e una piccola placca scura all'estremità posteriore; vive presso le radici del mais.",Il motivo giallo-nero dell'adulto e il contesto del mais sono ottimi indizi.
leptinotarsa_decemlineata,Leptinotarsa decemlineata,Leptinotarsa decemlineata,Dorifora della patata,Coleoptera,,,Chrysomelidae,,,3,"Adulto tondeggiante giallo-arancio con 10 nettissime strisce nere longitudinali sulle elitre. | Pronoto arancio con numerose macchie nere. | Larva molle e molto convessa, rosso-arancio, con capo nero e due file di macchie nere su ciascun lato.",Le 10 strisce nere dell'adulto sono il carattere più immediato della dorifora.
popillia_japonica,Popillia japonica,Popillia japonica,Coleottero / scarabeo giapponese,Coleoptera,,,Scarabaeidae,,,2,"Capo e pronoto verde metallico brillante, elitre color rame/bronzo. | Cinque ciuffetti di peli bianchi su ciascun lato dell'addome più un paio terminale. | La larva è un tipico scarabeide a C, crema, con capo bruno e tre paia di zampe toraciche.",I ciuffi bianchi ai lati dell'addome permettono di separarla rapidamente da molti scarabeidi simili.
xanthogaleruca_luteola,Xanthogaleruca luteola,Xanthogaleruca luteola,Galeruca / galerucella dell’olmo,Coleoptera,,,Chrysomelidae,Galerucella luteola | Pyrrhalta luteola,Sinonimi storici utili: Galerucella luteola e Pyrrhalta luteola.,3,"Adulto giallastro o verde-oliva con pronoto macchiato di nero. | Le elitre presentano bande longitudinali scure, soprattutto lungo i margini laterali. | Larve giallo-scure/nerastre con macchie o strisce longitudinali; sulle foglie di olmo producono una tipica scheletrizzazione.",Foglia di olmo 'a pizzo' + larve scure è un contesto molto caratteristico.
bactrocera_dorsalis,Bactrocera dorsalis,Bactrocera dorsalis,Mosca orientale della frutta,Diptera,,,Tephritidae,,,2,Tefritide con torace prevalentemente nero e vistose aree/bande gialle laterali; scutello giallo. | Addome giallo-arancio con disegno scuro spesso simile a una T. | Ali quasi trasparenti con una stretta banda scura lungo il margine costale.,Fa parte di un complesso di specie molto simili: la diagnosi ufficiale dell'adulto usa una combinazione di numerosi caratteri morfologici; la larva da sola non permette una sicura identificazione di specie.
bactrocera_oleae,Bactrocera oleae,Bactrocera oleae,Mosca dell’olivo,Diptera,,,Tephritidae,Dacus oleae,Dacus oleae è un sinonimo storico frequente.,3,"Mosca piccola, bruno-giallastra, con scutello giallo ben evidente. | L'ala è quasi completamente trasparente e manca una vera banda costale; è tipica una piccola macchia scura vicino all'apice. | La presenza su oliva o la larva biancastra all'interno della polpa sono forti indizi contestuali.",La piccola macchia apicale dell'ala è uno dei caratteri più utili dell'adulto.
ceratitis_capitata,Ceratitis capitata,Ceratitis capitata,Mosca mediterranea della frutta,Diptera,,,Tephritidae,,,3,"Adulto molto variopinto, con ali trasparenti attraversate da caratteristiche bande giallo-brune. | Torace a mosaico di aree scure, chiare e giallastre; la metà apicale dello scutello è scura. | Nel maschio spiccano due setole orbitali modificate con estremità scura e dilatata; la femmina ha un ovopositore appuntito.",La combinazione di ali disegnate e torace variegato rende l'adulto piuttosto caratteristico.
drosophila_suzukii,Drosophila suzukii,Drosophila suzukii,Drosophila dalle ali macchiate / moscerino dei piccoli frutti,Diptera,,,Drosophilidae,,,4,"Piccolo moscerino giallo-bruno con occhi rossi. | Il maschio ha una vistosa macchia scura vicino all'apice del margine anteriore di ciascuna ala. | La femmina non ha le macchie alari, ma possiede un ovopositore robusto e seghettato, visibile con ingrandimento.",Maschio e femmina vanno imparati separatamente: il carattere diagnostico cambia completamente.
rhagoletis_cerasi,Rhagoletis cerasi,Rhagoletis cerasi,Mosca delle ciliegie,Diptera,,,Tephritidae,,,2,"Adulto con corpo prevalentemente scuro e scutello giallo ben contrastato. | Ali trasparenti con un disegno molto netto di bande trasversali scure, compresa una banda apicale a L rovesciata. | La larva è un verme biancastro apode che si trova nella polpa delle ciliegie.",Nel genere Rhagoletis il disegno delle ali è fondamentale per la diagnosi.
rhagoletis_completa,Rhagoletis completa,Rhagoletis completa,Mosca del noce,Diptera,,,Tephritidae,,,2,"Adulto giallo-brunastro con scutello giallo-biancastro. | Ali trasparenti con tre bande scure principali; la banda distale crea un evidente disegno triangolare/V verso il margine. | Le larve sono vermiformi, bianche e apode e si sviluppano nel mallo della noce.",La combinazione del disegno alare e del mallo di noce infestato è molto utile per riconoscerla.
cydia_pomonella,Cydia pomonella,Cydia pomonella,Carpocapsa / verme delle mele,Lepidoptera,,,Tortricidae,,,3,"Adulto grigio con fini striature argentate sulle ali anteriori. | Vicino all'apice dell'ala è presente un tipico ocello bruno-porpora bordato da squame metalliche rame/dorate. | La larva matura è bianco-rosata con capo bruno e scava gallerie nei frutti di melo e pero, spesso con rosura ed escrementi.",Il riflesso ramato/dorato dell'ocello apicale è molto utile per distinguerla da Cydia splendana.
cydia_splendana,Cydia splendana,Cydia splendana,Cidia / tortrice del castagno,Lepidoptera,,,Tortricidae,,,2,"Ali anteriori da grigio chiaro a grigio, con il terzo distale occupato da una grande macchia subtriangolare bruno-scura. | La macchia distale circonda un ocello violaceo; manca il tipico bordo ramato brillante di Cydia pomonella. | Larva matura giallo-biancastra o grigio-verde con capo giallo-bruno; è tipicamente rinvenuta in castagne e ghiande.",La larva non possiede il pettine/fork anale; l'ospite castagno è un importante indizio pratico.
grapholita_funebrana,Grapholita (Cydia) funebrana,Grapholita funebrana,Tignola del susino,Lepidoptera,,,Tortricidae,Cydia funebrana | Laspeyresia funebrana | Aspila funebrana,Per l'esame mantenere in primo piano Grapholita (Cydia) funebrana; Aspila funebrana può comparire come classificazione recente.,2,"Piccola tortrice grigio-bruna con marcature argentate poco definite sulle ali anteriori e ocello poco evidente. | La larva matura è di colore rosso-rosa vivo, con capo bruno scuro e scudo protoracico giallo-bruno. | È presente un pettine anale di 4–10 denti; le larve si sviluppano soprattutto nei frutti di susino e altri Prunus.","Anche questa specie può essere difficilmente separabile da Grapholita molesta sull'adulto fotografato: il contesto e, quando necessario, i genitali sono decisivi."
grapholita_molesta,Grapholita (Cydia) molesta,Grapholita molesta,Tignola orientale del pesco,Lepidoptera,,,Tortricidae,Cydia molesta | Laspeyresia molesta | Aspila molesta,Per l'esame mantenere in primo piano Grapholita (Cydia) molesta; Aspila molesta può comparire come classificazione recente.,2,"Piccola tortrice grigio-bruna opaca; sulle ali anteriori è presente una fila di piccoli punti neri verso apice e margine esterno. | L'ocello alare è poco evidente o quasi assente, rendendo l'adulto visivamente poco appariscente. | La larva matura è rosata, con capo e scudo protoracico giallo-bruni e un pettine anale di circa 5 denti; attacca germogli e frutti di pesco.",L'adulto è molto simile a Grapholita funebrana e ad altre Grapholitini: per la conferma può essere necessario l'esame dei genitali.
