species_id,species,course_name,order,family,image_id,stage,role,quiz_default,file,pixels,author,source,source_page,license,license_url,source_batch,notes
cacopsylla_melanoneura,Cacopsylla melanoneura,Cacopsylla melanoneura,Hemiptera,Psyllidae,cacopsylla_melanoneura_female_01,adult_female,primary_adult,True,assets/insects/hemiptera/psyllidae/cacopsylla_melanoneura_female_01.webp,1011x948,Yerpo,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cacopsylla_melanoneura-F.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_02_cacopsylla_recovery,Femmina adulta su ramo di Crataegus; identificazione riportata dalla fonte.
cacopsylla_melanoneura,Cacopsylla melanoneura,Cacopsylla melanoneura,Hemiptera,Psyllidae,cacopsylla_melanoneura_male_01,adult_male,adult_variant,True,assets/insects/hemiptera/psyllidae/cacopsylla_melanoneura_male_01.webp,1026x957,Yerpo,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cacopsylla_melanoneura-M.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_02_cacopsylla_recovery,Maschio adulto su ramo di Crataegus; identificazione riportata dalla fonte.
cacopsylla_picta,Cacopsylla picta,Cacopsylla picta,Hemiptera,Psyllidae,cacopsylla_picta_female_01,adult_female,primary_adult,True,assets/insects/hemiptera/psyllidae/cacopsylla_picta_female_01.webp,1080x1218,Yerpo,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cacopsylla_picta-F.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_02_cacopsylla_recovery,Femmina adulta fotografata su ramo di melo.
cacopsylla_picta,Cacopsylla picta,Cacopsylla picta,Hemiptera,Psyllidae,cacopsylla_picta_male_01,adult_male,adult_variant,True,assets/insects/hemiptera/psyllidae/cacopsylla_picta_male_01.webp,867x996,Yerpo,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cacopsylla_picta-M.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_02_cacopsylla_recovery,Maschio adulto fotografato su ramo di melo.
cacopsylla_pruni,Cacopsylla pruni,Cacopsylla pruni,Hemiptera,Psyllidae,cacopsylla_pruni_adult_01,adult,primary_context,True,assets/insects/hemiptera/psyllidae/cacopsylla_pruni_adult_01.webp,1400x700,Alberto Loschi,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_rest_in_the_green.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_02_cacopsylla_recovery,Adulto su foglia di albicocco; macro contestuale.
cacopsylla_pyri,Cacopsylla pyri,Cacopsylla pyri,Hemiptera,Psyllidae,cacopsylla_pyri_adult_01,adult,primary_adult_low_resolution,True,assets/insects/hemiptera/psyllidae/cacopsylla_pyri_adult_01.webp,508x340,Mick E. Talbot,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/File:Psylla_pyri.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,hemiptera_batch_02_cacopsylla_recovery,Adulto; originale 508x340 px. Non è stato effettuato upscaling; Commons segnala la qualità come modesta.
cacopsylla_pyri,Cacopsylla pyri,Cacopsylla pyri,Hemiptera,Psyllidae,cacopsylla_pyri_head_diagnostic_01,adult_diagnostic,diagnostic_head,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyri_head_diagnostic_01.webp,620x395,"Rapisarda C., Weigand A.M., Braun P., Eickermann M. (2022)",Biodiversity Data Journal / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Psylloidea_(10.3897-BDJ.10.e77571)_Figure_2.png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_02_cacopsylla_recovery,Ritaglio del pannello L della Fig. 2 (strutture del capo). Immagine modificata esclusivamente tramite ritaglio.
cacopsylla_pyri,Cacopsylla pyri,Cacopsylla pyri,Hemiptera,Psyllidae,cacopsylla_pyri_forewing_diagnostic_01,adult_diagnostic,diagnostic_forewing,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyri_forewing_diagnostic_01.webp,627x320,"Rapisarda C., Weigand A.M., Braun P., Eickermann M. (2022)",Biodiversity Data Journal / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Psylloidea_(10.3897-BDJ.10.e77571)_Figure_6.png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_02_cacopsylla_recovery,Ritaglio del pannello L della Fig. 6 (ala anteriore). Immagine modificata esclusivamente tramite ritaglio.
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Hemiptera,Psyllidae,cacopsylla_pyricola_head_diagnostic_01,adult_diagnostic,diagnostic_head,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyricola_head_diagnostic_01.webp,620x390,"Rapisarda C., Weigand A.M., Braun P., Eickermann M. (2022)",Biodiversity Data Journal / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Psylloidea_(10.3897-BDJ.10.e77571)_Figure_2.png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_02_cacopsylla_recovery,Ritaglio del pannello M della Fig. 2 (strutture del capo). Immagine modificata esclusivamente tramite ritaglio.
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Hemiptera,Psyllidae,cacopsylla_pyricola_forewing_diagnostic_01,adult_diagnostic,diagnostic_forewing,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyricola_forewing_diagnostic_01.webp,625x315,"Rapisarda C., Weigand A.M., Braun P., Eickermann M. (2022)",Biodiversity Data Journal / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Psylloidea_(10.3897-BDJ.10.e77571)_Figure_6.png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_02_cacopsylla_recovery,Ritaglio del pannello M della Fig. 6 (ala anteriore). Immagine modificata esclusivamente tramite ritaglio.
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Hemiptera,Psyllidae,cacopsylla_pyricola_adult_historical_01,adult_female,historical_reference,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyricola_adult_historical_01.webp,735x645,C. L. Marlatt,"U.S. Department of Agriculture, Division of Entomology, Circular No. 7, 1895",https://upload.wikimedia.org/wikipedia/commons/7/72/Pear-tree_psylla_%28Psylla_pyricola_Forest%29_%28IA_peartreepsyllaps27marl%29.pdf,Public domain,,hemiptera_batch_02_cacopsylla_recovery,"Ritaglio della Fig. 1: femmina adulta. Illustrazione storica, non fotografia; non usare nel quiz fotografico standard."
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Hemiptera,Psyllidae,cacopsylla_pyricola_egg_early_juvenile_historical_01,egg_and_early_juvenile,historical_reference,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyricola_egg_early_juvenile_historical_01.webp,425x395,C. L. Marlatt,"U.S. Department of Agriculture, Division of Entomology, Circular No. 7, 1895",https://upload.wikimedia.org/wikipedia/commons/7/72/Pear-tree_psylla_%28Psylla_pyricola_Forest%29_%28IA_peartreepsyllaps27marl%29.pdf,Public domain,,hemiptera_batch_02_cacopsylla_recovery,Ritaglio della Fig. 2. La didascalia storica usa il termine 'larva'; nell'app moderna classificare come stadio giovanile precoce e non usare la terminologia storica come definizione attuale.
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Hemiptera,Psyllidae,cacopsylla_pyricola_nymph_historical_01,nymph,historical_reference,False,assets/insects/hemiptera/psyllidae/cacopsylla_pyricola_nymph_historical_01.webp,420x485,C. L. Marlatt,"U.S. Department of Agriculture, Division of Entomology, Circular No. 7, 1895",https://upload.wikimedia.org/wikipedia/commons/7/72/Pear-tree_psylla_%28Psylla_pyricola_Forest%29_%28IA_peartreepsyllaps27marl%29.pdf,Public domain,,hemiptera_batch_02_cacopsylla_recovery,"Ritaglio della Fig. 3: ninfa. Illustrazione storica, da usare come riferimento/approfondimento."
dysaphis_plantaginea,Dysaphis plantaginea,Dysaphis plantaginea,Hemiptera,Aphididae,dysaphis_plantaginea_adult_01,adult,primary_diagnostic,True,assets/insects/hemiptera/dysaphis_plantaginea_adult_01.webp,1400x1050,Zapote,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dysaphis_plantaginea_cropped.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_03_aleyrodidae_aphididae,Forma adulta su foglia; immagine già ritagliata su Commons dall’originale dello stesso autore.
eriosoma_lanigerum,Eriosoma lanigerum,Eriosoma lanigerum,Hemiptera,Aphididae,eriosoma_lanigerum_colony_01,colony,primary_diagnostic,True,assets/insects/hemiptera/eriosoma_lanigerum_colony_01.webp,1400x933,Sanjay Acharya,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Woolly_Aphids.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,Colonia cerosa su melo; mostra bene il caratteristico aspetto lanoso.
halyomorpha_halys,Halyomorpha halys,Halyomorpha halys,Hemiptera,Pentatomidae,halyomorpha_halys_adult_01,adult,primary_diagnostic,True,assets/insects/hemiptera/halyomorpha_halys_adult_01.webp,1200x1032,Rylie.gibson,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Halyomorpha_halys_(Stål_1855).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_01,"Adulto dorsale isolato con scala. Conversione JPEG→WebP e ridimensionamento, senza altri ritocchi."
halyomorpha_halys,Halyomorpha halys,Halyomorpha halys,Hemiptera,Pentatomidae,halyomorpha_halys_adult_02,adult,adult_variant,True,assets/insects/hemiptera/halyomorpha_halys_adult_02.webp,807x1076,Lildobe,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brown_marmorated_stink_bug.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_01,Adulto in vista dorsale/obliqua. Conversione JPEG→WebP e ridimensionamento.
halyomorpha_halys,Halyomorpha halys,Halyomorpha halys,Hemiptera,Pentatomidae,halyomorpha_halys_nymph_01,nymph,juvenile,True,assets/insects/hemiptera/halyomorpha_halys_nymph_01.webp,1200x900,KENPEI,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Halyomorpha_halys(nymphs)1.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_01,Ninfa avanzata su vegetazione. Conversione JPEG→WebP e ridimensionamento.
halyomorpha_halys,Halyomorpha halys,Halyomorpha halys,Hemiptera,Pentatomidae,halyomorpha_halys_eggs_01,eggs_hatching,eggs_and_first_instar,False,assets/insects/hemiptera/halyomorpha_halys_eggs_01.webp,1200x800,"David R. Lance, USDA APHIS PPQ",Wikimedia Commons / Invasive.org / Bugwood,https://commons.wikimedia.org/wiki/File:Brown_marmorated_stink_bug_eggs_hatched.jpg,CC BY 3.0 US,https://creativecommons.org/licenses/by/3.0/us/,hemiptera_batch_01,Ovatura schiusa e neanidi di I età. Conversione JPEG→WebP e ridimensionamento.
hyalesthes_obsoletus,Hyalesthes obsoletus,Hyalesthes obsoletus,Hemiptera,Cixiidae,hyalesthes_obsoletus_adult_01,adult,primary_diagnostic,True,assets/insects/hemiptera/hyalesthes_obsoletus_adult_01.webp,1200x900,Michael F. Schönitzer,Wikimedia Commons / Zoologische Staatssammlung München,https://commons.wikimedia.org/wiki/File:Hyalesthes_obsoletus1.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_01,Adulto in macro latero-dorsale. Conversione JPEG→WebP e ridimensionamento.
hyalesthes_obsoletus,Hyalesthes obsoletus,Hyalesthes obsoletus,Hemiptera,Cixiidae,hyalesthes_obsoletus_adult_02,adult,adult_variant,True,assets/insects/hemiptera/hyalesthes_obsoletus_adult_02.webp,1200x678,Michael F. Schönitzer,Wikimedia Commons / Zoologische Staatssammlung München,https://commons.wikimedia.org/wiki/File:Hyalesthes_obsoletus2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_01,Seconda vista dell'adulto. Conversione JPEG→WebP e ridimensionamento.
icerya_purchasi,Icerya purchasi,Icerya purchasi,Hemiptera,Monophlebidae,icerya_purchasi_female_ovisac_01,adult_female_ovisac,primary,True,assets/insects/hemiptera/coccoidea/icerya_purchasi_female_ovisac_01.webp,1400x1102,Lucarelli,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Icerya_purchasi_1.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_04_coccoidea,"Femmina con ovisacco, fotografata in Toscana. Conversione JPEG→WebP e ridimensionamento se necessario."
icerya_purchasi,Icerya purchasi,Icerya purchasi,Hemiptera,Monophlebidae,icerya_purchasi_female_ovisac_02,adult_female_ovisac,secondary_macro,True,assets/insects/hemiptera/coccoidea/icerya_purchasi_female_ovisac_02.webp,960x640,Graham Wise,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/File:Icerya_purchasi_(14338384298).jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,hemiptera_batch_04_coccoidea,Macro della femmina con grande ovisacco. È stato usato il thumbnail Wikimedia da 960 px e poi convertito in WebP.
myzus_cerasi,Myzus cerasi,Myzus cerasi,Hemiptera,Aphididae,myzus_cerasi_colony_01,apterous_colony,primary_context,True,assets/insects/hemiptera/myzus_cerasi_colony_01.webp,1400x1251,S. Rae,Flickr / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myzus_cerasi_(Black_cherry_aphid)_-_Flickr_-_S._Rae.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,hemiptera_batch_03_aleyrodidae_aphididae,Forme attere nere in colonia su foglia.
myzus_cerasi,Myzus cerasi,Myzus cerasi,Hemiptera,Aphididae,myzus_cerasi_alate_01,alate_adult,adult_variant,True,assets/insects/hemiptera/myzus_cerasi_alate_01.webp,1024x768,AfroBrazilian,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myzus_cerasi_01.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_03_aleyrodidae_aphididae,Adulto alato.
myzus_persicae,Myzus persicae,Myzus persicae,Hemiptera,Aphididae,myzus_persicae_alate_01,alate_adult,adult_variant,True,assets/insects/hemiptera/myzus_persicae_alate_01.webp,640x780,Scott Bauer,USDA Agricultural Research Service / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myzus_persicae.jpg,Public domain (USDA ARS),https://commons.wikimedia.org/wiki/File:Myzus_persicae.jpg,hemiptera_batch_03_aleyrodidae_aphididae,Adulto alato; pubblico dominio.
myzus_persicae,Myzus persicae,Myzus persicae,Hemiptera,Aphididae,myzus_persicae_apterous_01,apterous_adult,primary_diagnostic,True,assets/insects/hemiptera/myzus_persicae_apterous_01.webp,1131x1400,Jules Verne Times Two,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Green_peach_aphid_(Myzus_persicae)_on_a_stem,_Lisbon,_Portugal_(approx._GPS_location)_julesvernex2.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,"Forme attere in macro; l’autore richiede credito visibile nelle pubblicazioni online, che l’app dovrà mostrare nella schermata crediti."
myzus_varians,Myzus varians,Myzus varians,Hemiptera,Aphididae,myzus_varians_adult_01,apterous_adult,primary_diagnostic,True,assets/insects/hemiptera/myzus_varians_adult_01.webp,1400x1050,Gilles San Martin,iNaturalist / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myzus_varians_-_Gilles_San_Martin_-_231543404.jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,Adulto attero in macro.
myzus_varians,Myzus varians,Myzus varians,Hemiptera,Aphididae,myzus_varians_adult_02,apterous_adult,adult_variant,True,assets/insects/hemiptera/myzus_varians_adult_02.webp,1400x1050,Gilles San Martin,iNaturalist / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Myzus_varians_-_Gilles_San_Martin_-_231543310.jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,Seconda vista dell’adulto attero.
parthenolecanium_corni,Parthenolecanium corni,Parthenolecanium corni,Hemiptera,Coccidae,parthenolecanium_corni_colony_01,adult_females_colony,primary,True,assets/insects/hemiptera/coccoidea/parthenolecanium_corni_colony_01.webp,1400x1392,Slimguy,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2021_04_17_Parthenolecanium_corni.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_04_coccoidea,Colonia su Prunus spinosa con formiche Lasius brunneus; molto utile per il riconoscimento contestuale.
parthenolecanium_corni,Parthenolecanium corni,Parthenolecanium corni,Hemiptera,Coccidae,parthenolecanium_corni_colony_02,colony_context,secondary_context,True,assets/insects/hemiptera/coccoidea/parthenolecanium_corni_colony_02.webp,1400x933,Slimguy,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2021_04_10_Ameisen.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_04_coccoidea,"Immagine contestuale con formiche e cocciniglie sul ramo; utile come carta supplementare, non come foto diagnostica principale."
pulvinaria_hydrangeae,Pulvinaria hydrangeae,Eupulvinaria hydrangeae,Hemiptera,Coccidae,pulvinaria_hydrangeae_female_01,adult_female,primary,True,assets/insects/hemiptera/coccoidea/pulvinaria_hydrangeae_female_01.webp,1050x1400,Igor Balashov,Wikimedia Commons / iNaturalist,https://commons.wikimedia.org/wiki/File:Pulvinaria_hydrangeae_285909052.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,hemiptera_batch_04_coccoidea,Nome attuale: Pulvinaria hydrangeae; nella scheda del corso compare Eupulvinaria hydrangeae. Foto verificata da iNaturalistReviewBot su Commons.
pulvinaria_hydrangeae,Pulvinaria hydrangeae,Eupulvinaria hydrangeae,Hemiptera,Coccidae,pulvinaria_hydrangeae_female_ovisac_02,adult_female_ovisac,secondary,True,assets/insects/hemiptera/coccoidea/pulvinaria_hydrangeae_female_ovisac_02.webp,1050x1400,gbohne,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/File:Pulvinaria_hydrangeae_(Hemiptera-_Coccidae)_(10958921753).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,hemiptera_batch_04_coccoidea,La pagina sorgente esplicita il sinonimo di genere Eupulvinaria; utile per collegare la nomenclatura moderna a quella del corso.
saissetia_oleae,Saissetia oleae,Saissetia oleae,Hemiptera,Coccidae,saissetia_oleae_female_01,adult_female,primary,True,assets/insects/hemiptera/coccoidea/saissetia_oleae_female_01.webp,1305x1400,Toby Hudson,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Saissetia_oleae.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_04_coccoidea,Adulti su ramo di limone; buona visibilità della forma dorsale.
saissetia_oleae,Saissetia oleae,Saissetia oleae,Hemiptera,Coccidae,saissetia_oleae_female_02,adult_female,secondary,True,assets/insects/hemiptera/coccoidea/saissetia_oleae_female_02.webp,405x254,Eric.Coffinet,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Olivier_cochenille-noire1.jpg,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,hemiptera_batch_04_coccoidea,Immagine a bassa risoluzione ma utile come seconda variante; autore l’ha rilasciata nel pubblico dominio.
scaphoideus_titanus,Scaphoideus titanus,Scaphoideus titanus,Hemiptera,Cicadellidae,scaphoideus_titanus_adult_01,adult_female,primary_context,True,assets/insects/hemiptera/scaphoideus_titanus_adult_01.webp,1200x903,Yerpo,Wikimedia Commons / Fondazione Edmund Mach,https://commons.wikimedia.org/wiki/File:Scaphoideus_titanus_F.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_01,Femmina adulta su foglia di vite. Conversione JPEG→WebP e ridimensionamento.
scaphoideus_titanus,Scaphoideus titanus,Scaphoideus titanus,Hemiptera,Cicadellidae,scaphoideus_titanus_adult_02,adult,diagnostic_isolated,True,assets/insects/hemiptera/scaphoideus_titanus_adult_02.webp,348x652,Lamiot,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ScaphoideusTitanusP.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_01,"Adulto isolato, risoluzione originale modesta. Conversione JPEG→WebP, nessun upscaling."
scaphoideus_titanus,Scaphoideus titanus,Scaphoideus titanus,Hemiptera,Cicadellidae,scaphoideus_titanus_mating_01,adult_pair,supplementary_behavior,False,assets/insects/hemiptera/scaphoideus_titanus_mating_01.webp,1178x1200,Yerpo,Wikimedia Commons / Fondazione Edmund Mach,https://commons.wikimedia.org/wiki/File:Scaphoideus_titanus_mating.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_01,"Coppia in accoppiamento su foglia di vite (maschio sopra, femmina sotto). Conversione JPEG→WebP e ridimensionamento."
trialeurodes_vaporariorum,Trialeurodes vaporariorum,Trialeurodes vaporariorum,Hemiptera,Aleyrodidae,trialeurodes_vaporariorum_adult_01,adult,primary_diagnostic,True,assets/insects/hemiptera/trialeurodes_vaporariorum_adult_01.webp,1200x900,Dr. Guido Bohne,iNaturalist / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Trialeurodes_vaporariorum_34941498.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,"Adulto isolato, ottimo per confronto con Bemisia tabaci."
